ENSMUST00000188371.6	Terf1
ENSMUST00000027057.7	Terf1
ENSMUST00000040695.4	Sbspon
ENSMUST00000115367.7	4930444P10Rik
ENSMUST00000145070.7	4930444P10Rik
ENSMUST00000151004.1	4930444P10Rik
ENSMUST00000058437.13	Rpl7
ENSMUST00000149566.1	Rpl7
ENSMUST00000027053.7	Rdh10
ENSMUST00000162751.7	Stau2
ENSMUST00000054668.12	Stau2
ENSMUST00000162627.7	Stau2
ENSMUST00000027052.12	Stau2
ENSMUST00000162435.7	Stau2
ENSMUST00000159558.7	Stau2
ENSMUST00000128957.8	Stau2
ENSMUST00000131257.8	Stau2
ENSMUST00000162007.7	Stau2
ENSMUST00000127420.7	Stau2
ENSMUST00000149320.8	Stau2
ENSMUST00000151888.7	Stau2
ENSMUST00000153966.8	Stau2
ENSMUST00000115359.9	Stau2
ENSMUST00000145092.7	Stau2
ENSMUST00000144138.3	Stau2
ENSMUST00000182554.8	Ube2w
ENSMUST00000117146.8	Ube2w
ENSMUST00000133639.1	Ube2w
ENSMUST00000188641.6	Eloc
ENSMUST00000115352.9	Eloc
ENSMUST00000186948.6	Eloc
ENSMUST00000187910.6	Eloc
ENSMUST00000185771.6	Eloc
ENSMUST00000185393.6	Eloc
ENSMUST00000186701.1	Eloc
ENSMUST00000177501.1	Tmem70
ENSMUST00000065373.5	Tmem70
ENSMUST00000026881.10	Ly96
ENSMUST00000190366.1	Ly96
ENSMUST00000186024.1	Jph1
ENSMUST00000038382.4	Jph1
ENSMUST00000026879.7	Gdap1
ENSMUST00000189736.1	Gdap1
ENSMUST00000088476.3	Pi15
ENSMUST00000159958.7	Crispld1
ENSMUST00000160305.7	Crispld1
ENSMUST00000095075.4	Crispld1
ENSMUST00000026876.12	Crisp4
ENSMUST00000115340.7	Crisp4
ENSMUST00000115344.1	Crisp4
ENSMUST00000097818.1	Defb18
ENSMUST00000088463.1	Defb41
ENSMUST00000097817.3	Defb41
ENSMUST00000037294.7	Tfap2d
ENSMUST00000027059.10	Tfap2b
ENSMUST00000187754.6	Tfap2b
ENSMUST00000064976.5	Tfap2b
ENSMUST00000088448.11	Pkhd1
ENSMUST00000027061.4	Il17a
ENSMUST00000039046.9	Il17f
ENSMUST00000189301.1	Il17f
ENSMUST00000053266.10	Mcm3
ENSMUST00000189400.6	Paqr8
ENSMUST00000068880.13	Paqr8
ENSMUST00000167119.7	Paqr8
ENSMUST00000187651.1	Paqr8
ENSMUST00000038447.5	Efhc1
ENSMUST00000037998.5	Tram2
ENSMUST00000027065.11	Tmem14a
ENSMUST00000027064.7	Tmem14a
ENSMUST00000027067.14	Gsta3
ENSMUST00000121676.7	Gsta3
ENSMUST00000124990.2	Gsta3
ENSMUST00000088407.3	Khdc1a
ENSMUST00000070223.5	Khdc1c
ENSMUST00000147615.1	Khdc1b
ENSMUST00000029667.12	Kcnq5
ENSMUST00000115300.7	Kcnq5
ENSMUST00000173058.7	Kcnq5
ENSMUST00000174183.7	Kcnq5
ENSMUST00000173404.1	Kcnq5
ENSMUST00000081544.12	Rims1
ENSMUST00000115273.8	Rims1
ENSMUST00000097811.9	Rims1
ENSMUST00000097810.9	Rims1
ENSMUST00000097809.9	Rims1
ENSMUST00000164877.7	Rims1
ENSMUST00000185942.1	Rims1
ENSMUST00000097808.6	Rims1
ENSMUST00000239255.1	Rims1
ENSMUST00000218140.1	Rims1
ENSMUST00000073179.5	Ppp1r14bl
ENSMUST00000027343.5	Ogfrl1
ENSMUST00000188677.1	Ogfrl1
ENSMUST00000144602.1	B3gat2
ENSMUST00000063663.5	B3gat2
ENSMUST00000140583.1	B3gat2
ENSMUST00000027339.13	Smap1
ENSMUST00000129254.7	Smap1
ENSMUST00000027338.3	Sdhaf4
ENSMUST00000187619.6	Fam135a
ENSMUST00000188712.6	Fam135a
ENSMUST00000187752.6	Fam135a
ENSMUST00000187369.6	Fam135a
ENSMUST00000186331.1	Fam135a
ENSMUST00000027337.14	Fam135a
ENSMUST00000185807.1	Fam135a
ENSMUST00000186999.6	Fam135a
ENSMUST00000054588.14	Col9a1
ENSMUST00000088349.2	Col9a1
ENSMUST00000115244.8	Col19a1
ENSMUST00000051344.5	Col19a1
ENSMUST00000191471.6	Lmbrd1
ENSMUST00000186096.6	Lmbrd1
ENSMUST00000186190.1	Lmbrd1
ENSMUST00000095062.9	Lmbrd1
ENSMUST00000190195.1	Lmbrd1
ENSMUST00000126626.7	Adgrb3
ENSMUST00000146592.7	Adgrb3
ENSMUST00000135518.7	Adgrb3
ENSMUST00000151309.7	Adgrb3
ENSMUST00000041838.6	Adgrb3
ENSMUST00000097801.3	4931408C20Rik
ENSMUST00000059937.4	Gm597
ENSMUST00000186733.6	Phf3
ENSMUST00000088310.9	Phf3
ENSMUST00000191329.1	Phf3
ENSMUST00000191064.6	Phf3
ENSMUST00000188780.1	Phf3
ENSMUST00000187968.1	Phf3
ENSMUST00000232841.1	Ptp4a1
ENSMUST00000233506.1	Ptp4a1
ENSMUST00000027232.14	Ptp4a1
ENSMUST00000076587.5	Ptp4a1
ENSMUST00000238874.1	Ptp4a1
ENSMUST00000178317.3	Gm5698
ENSMUST00000233331.1	4931428L18Rik
ENSMUST00000152491.3	4931428L18Rik
ENSMUST00000187892.7	4931428L18Rik
ENSMUST00000062560.13	Lgsn
ENSMUST00000161773.2	Lgsn
ENSMUST00000027230.2	Pih1d3
ENSMUST00000027226.11	Khdrbs2
ENSMUST00000189878.1	Khdrbs2
ENSMUST00000188257.6	Khdrbs2
ENSMUST00000185666.1	Khdrbs2
ENSMUST00000171322.2	Gm5415
ENSMUST00000027312.10	Prim2
ENSMUST00000088287.9	Rab23
ENSMUST00000138024.7	Rab23
ENSMUST00000115174.3	Rab23
ENSMUST00000044691.8	Bag2
ENSMUST00000187602.1	Bag2
ENSMUST00000139143.7	Zfp451
ENSMUST00000019861.12	Zfp451
ENSMUST00000115167.7	Zfp451
ENSMUST00000151055.7	Zfp451
ENSMUST00000194656.5	Zfp451
ENSMUST00000044455.7	Zfp451
ENSMUST00000115161.7	Bend6
ENSMUST00000129464.7	Bend6
ENSMUST00000062289.10	Bend6
ENSMUST00000183034.4	Dst
ENSMUST00000187486.6	Dst
ENSMUST00000182697.7	Dst
ENSMUST00000182314.7	Dst
ENSMUST00000097786.9	Dst
ENSMUST00000115104.9	Dst
ENSMUST00000097785.9	Dst
ENSMUST00000239001.1	Dst
ENSMUST00000183006.4	Dst
ENSMUST00000183302.5	Dst
ENSMUST00000185897.6	Dst
ENSMUST00000185269.6	Dst
ENSMUST00000194192.2	Dst
ENSMUST00000182018.7	Dst
ENSMUST00000183100.7	Dst
ENSMUST00000182507.3	Dst
ENSMUST00000042493.9	Ccdc115
ENSMUST00000027303.13	Imp4
ENSMUST00000137794.7	Imp4
ENSMUST00000149962.7	Imp4
ENSMUST00000136770.2	Imp4
ENSMUST00000027302.13	Ptpn18
ENSMUST00000190122.1	Ptpn18
ENSMUST00000188972.2	Ptpn18
ENSMUST00000027299.9	Prss39
ENSMUST00000191604.1	Prss39
ENSMUST00000027298.4	Cfc1
ENSMUST00000115071.3	Prss40
ENSMUST00000190790.6	Prss40
ENSMUST00000047840.8	Prss40
ENSMUST00000052670.10	Amer3
ENSMUST00000159747.8	Arhgef4
ENSMUST00000162599.7	Arhgef4
ENSMUST00000159021.8	Arhgef4
ENSMUST00000047664.15	Arhgef4
ENSMUST00000160855.1	Arhgef4
ENSMUST00000211073.1	Arhgef4
ENSMUST00000167518.7	Fam168b
ENSMUST00000047534.11	Fam168b
ENSMUST00000170092.7	Fam168b
ENSMUST00000185469.6	Fam168b
ENSMUST00000191307.6	Fam168b
ENSMUST00000185231.1	Fam168b
ENSMUST00000156687.7	Plekhb2
ENSMUST00000027297.10	Plekhb2
ENSMUST00000152654.2	Plekhb2
ENSMUST00000088174.3	Hs6st1
ENSMUST00000046875.13	Uggt1
ENSMUST00000174266.7	Uggt1
ENSMUST00000174224.7	Uggt1
ENSMUST00000173166.1	Uggt1
ENSMUST00000174142.1	Uggt1
ENSMUST00000056946.7	Neurl3
ENSMUST00000188666.2	Neurl3
ENSMUST00000126413.7	Arid5a
ENSMUST00000142319.7	Arid5a
ENSMUST00000097778.8	Arid5a
ENSMUST00000116629.8	Arid5a
ENSMUST00000115031.7	Arid5a
ENSMUST00000115032.7	Arid5a
ENSMUST00000137906.1	Arid5a
ENSMUST00000115029.1	Arid5a
ENSMUST00000185912.6	Kansl3
ENSMUST00000010597.9	Kansl3
ENSMUST00000186470.1	Kansl3
ENSMUST00000188961.6	Kansl3
ENSMUST00000188528.6	Kansl3
ENSMUST00000185621.2	Kansl3
ENSMUST00000187628.1	Kansl3
ENSMUST00000188957.1	Kansl3
ENSMUST00000179162.6	Fer1l5
ENSMUST00000202030.1	Fer1l5
ENSMUST00000140452.3	Fer1l5
ENSMUST00000192969.5	Lman2l
ENSMUST00000125304.7	Lman2l
ENSMUST00000115011.7	Lman2l
ENSMUST00000001171.12	Lman2l
ENSMUST00000152088.1	Lman2l
ENSMUST00000123583.1	Lman2l
ENSMUST00000153128.1	Cnnm4
ENSMUST00000001166.13	Cnnm3
ENSMUST00000097776.3	Cnnm3
ENSMUST00000193083.5	Ankrd23
ENSMUST00000054665.9	Ankrd23
ENSMUST00000194853.2	Ankrd23
ENSMUST00000191849.5	Gm42417
ENSMUST00000207088.1	Gm42417
ENSMUST00000207843.1	Ankrd39
ENSMUST00000001172.11	Ankrd39
ENSMUST00000194894.3	Ankrd39
ENSMUST00000191677.5	Sema4c
ENSMUST00000191642.5	Sema4c
ENSMUST00000195620.5	Sema4c
ENSMUST00000114991.7	Sema4c
ENSMUST00000193382.5	Sema4c
ENSMUST00000195339.2	Sema4c
ENSMUST00000170295.7	Fam178b
ENSMUST00000194025.1	Fam178b
ENSMUST00000194839.5	Fam178b
ENSMUST00000114981.2	Fam178b
ENSMUST00000081180.6	Cox5b
ENSMUST00000193210.5	Cox5b
ENSMUST00000195151.5	Cox5b
ENSMUST00000043951.9	Actr1b
ENSMUST00000159448.7	Actr1b
ENSMUST00000160084.1	Actr1b
ENSMUST00000192873.2	4933424G06Rik
ENSMUST00000208994.1	4933424G06Rik
ENSMUST00000027291.6	Zap70
ENSMUST00000185871.1	Zap70
ENSMUST00000027290.11	Tmem131
ENSMUST00000194563.5	Tmem131
ENSMUST00000189470.1	Tmem131
ENSMUST00000190442.1	Tmem131
ENSMUST00000186486.1	Tmem131
ENSMUST00000185964.2	Tmem131
ENSMUST00000117172.8	Vwa3b
ENSMUST00000124404.7	Vwa3b
ENSMUST00000067178.13	Vwa3b
ENSMUST00000238425.1	Vwa3b
ENSMUST00000238500.1	Vwa3b
ENSMUST00000162449.6	Vwa3b
ENSMUST00000027289.13	Vwa3b
ENSMUST00000195450.1	Vwa3b
ENSMUST00000169057.2	Vwa3b
ENSMUST00000191981.5	Cnga3
ENSMUST00000195272.5	Cnga3
ENSMUST00000194195.5	Cnga3
ENSMUST00000027288.9	Cnga3
ENSMUST00000027287.10	Inpp4a
ENSMUST00000140264.7	Inpp4a
ENSMUST00000132401.7	Inpp4a
ENSMUST00000136846.7	Inpp4a
ENSMUST00000132615.7	Inpp4a
ENSMUST00000193774.5	Inpp4a
ENSMUST00000137266.7	Inpp4a
ENSMUST00000058307.14	Inpp4a
ENSMUST00000114933.8	Inpp4a
ENSMUST00000168546.2	Inpp4a
ENSMUST00000027286.6	Coa5
ENSMUST00000114925.9	Unc50
ENSMUST00000027285.12	Unc50
ENSMUST00000144617.7	Unc50
ENSMUST00000193979.5	Unc50
ENSMUST00000118059.2	Unc50
ENSMUST00000193713.1	Unc50
ENSMUST00000042161.14	Mgat4a
ENSMUST00000151952.7	Mgat4a
ENSMUST00000154819.7	Mgat4a
ENSMUST00000143636.7	Mgat4a
ENSMUST00000149791.7	Mgat4a
ENSMUST00000148047.1	Mgat4a
ENSMUST00000160023.5	2010300C02Rik
ENSMUST00000162875.7	2010300C02Rik
ENSMUST00000160589.1	2010300C02Rik
ENSMUST00000041815.14	Tsga10
ENSMUST00000114902.7	Tsga10
ENSMUST00000239367.1	Tsga10
ENSMUST00000088072.9	Tsga10
ENSMUST00000151735.7	Tsga10
ENSMUST00000123082.8	Tsga10
ENSMUST00000155852.6	Tsga10
ENSMUST00000193669.1	Tsga10
ENSMUST00000128085.1	Lipt1
ENSMUST00000041621.4	Lipt1
ENSMUST00000142670.1	Lipt1
ENSMUST00000144440.1	Lipt1
ENSMUST00000139725.7	Mitd1
ENSMUST00000027257.9	Mitd1
ENSMUST00000027256.11	Mrpl30
ENSMUST00000193673.5	Mrpl30
ENSMUST00000160082.2	Mrpl30
ENSMUST00000194857.5	Mrpl30
ENSMUST00000195373.1	Mrpl30
ENSMUST00000078307.6	Lyg2
ENSMUST00000027254.9	Lyg1
ENSMUST00000114894.1	Lyg1
ENSMUST00000162031.7	Txndc9
ENSMUST00000193832.5	Txndc9
ENSMUST00000195247.5	Txndc9
ENSMUST00000192960.5	Txndc9
ENSMUST00000195032.5	Txndc9
ENSMUST00000192237.1	Txndc9
ENSMUST00000027252.7	Eif5b
ENSMUST00000027251.11	Rev1
ENSMUST00000194815.5	Rev1
ENSMUST00000193472.1	Rev1
ENSMUST00000192594.5	Rev1
ENSMUST00000193697.5	Rev1
ENSMUST00000195383.1	Rev1
ENSMUST00000095027.8	Aff3
ENSMUST00000238906.1	Aff3
ENSMUST00000039827.13	Aff3
ENSMUST00000134963.1	Aff3
ENSMUST00000147695.8	Lonrf2
ENSMUST00000039612.4	Lonrf2
ENSMUST00000027249.11	Chst10
ENSMUST00000193441.5	Chst10
ENSMUST00000192948.5	Chst10
ENSMUST00000194361.5	Chst10
ENSMUST00000194657.1	Chst10
ENSMUST00000193435.5	Chst10
ENSMUST00000088029.7	Nms
ENSMUST00000160214.1	Nms
ENSMUST00000027247.10	Pdcl3
ENSMUST00000193489.1	Pdcl3
ENSMUST00000194552.1	Pdcl3
ENSMUST00000173050.7	Npas2
ENSMUST00000056815.8	Npas2
ENSMUST00000086535.11	Rpl31
ENSMUST00000194746.5	Rpl31
ENSMUST00000178079.7	Rpl31
ENSMUST00000179954.7	Rpl31
ENSMUST00000195123.5	Rpl31
ENSMUST00000054462.10	Tbc1d8
ENSMUST00000192099.1	Tbc1d8
ENSMUST00000192531.5	Tbc1d8
ENSMUST00000193823.1	Tbc1d8
ENSMUST00000161515.7	Cnot11
ENSMUST00000003219.13	Cnot11
ENSMUST00000195567.1	Cnot11
ENSMUST00000062525.10	Rnf149
ENSMUST00000195136.1	Rnf149
ENSMUST00000195705.1	Rnf149
ENSMUST00000053355.5	Creg2
ENSMUST00000151913.2	Rfx8
ENSMUST00000171319.3	Gm3646
ENSMUST00000168431.6	Map4k4
ENSMUST00000163854.8	Map4k4
ENSMUST00000191761.5	Map4k4
ENSMUST00000193682.5	Map4k4
ENSMUST00000195860.5	Map4k4
ENSMUST00000195259.5	Map4k4
ENSMUST00000195636.5	Map4k4
ENSMUST00000192509.5	Map4k4
ENSMUST00000192355.5	Map4k4
ENSMUST00000191964.1	Map4k4
ENSMUST00000191865.1	Map4k4
ENSMUST00000191671.5	Il1r2
ENSMUST00000027243.12	Il1r2
ENSMUST00000195770.1	Il1r2
ENSMUST00000194913.1	Il1r2
ENSMUST00000027241.10	Il1r1
ENSMUST00000114795.2	Il1r1
ENSMUST00000095020.8	Il1rl2
ENSMUST00000194296.5	Il1rl2
ENSMUST00000193388.1	Il1rl2
ENSMUST00000174335.7	Il1rl1
